date,hour,open,high,low,close,volume,ohlc4,SMA,25x_liq_long,25x_liq_short,average_true_range
2021-01-01 05:00:00,5.0,29280.5,29296.0,29146.5,29240.0,5523794.57695,29240.75,,,,
2021-01-01 06:00:00,6.0,29240.0,29315.0,29127.5,29231.0,7436046.7917,29228.375,,,,
2021-01-01 07:00:00,7.0,29231.0,29241.5,28887.0,29168.0,8430755.41455,29131.875,,,,
2021-01-01 08:00:00,8.0,29168.0,29251.0,28928.5,29061.0,7003066.8362,29102.125,,,,
2021-01-01 09:00:00,9.0,29061.0,29379.5,29041.5,29275.0,5764369.83265,29189.25,,,,
2021-01-01 10:00:00,10.0,29275.0,29414.5,29226.5,29309.5,9315498.2924,29306.375,,,,
2021-01-01 11:00:00,11.0,29309.5,29486.0,29284.5,29380.0,7180222.2362,29365.0,,,,
2021-01-01 12:00:00,12.0,29380.0,29691.5,29232.0,29300.5,12856443.56425,29401.0,,,,
2021-01-01 13:00:00,13.0,29300.5,29543.5,29274.0,29535.0,3070330.79355,29413.25,,,,
2021-01-01 14:00:00,14.0,29535.0,29606.5,29346.0,29395.0,5533512.2105,29470.625,,,,
2021-01-01 15:00:00,15.0,29395.0,29456.0,29093.0,29252.5,5428758.34115,29299.125,,,,
2021-01-01 16:00:00,16.0,29252.5,29427.5,29190.0,29372.0,4395273.91095,29310.5,,,,
2021-01-01 17:00:00,17.0,29372.0,29420.5,29011.0,29138.5,7396750.33005,29235.5,,,,
2021-01-01 18:00:00,18.0,29138.5,29322.0,28700.0,29134.5,12498198.8256,29073.75,,,,311.64285714285717
2021-01-01 19:00:00,19.0,29134.5,29191.0,29009.5,29104.0,7682271.1892,29109.75,,,,313.92857142857144
2021-01-01 20:00:00,20.0,29104.0,29356.5,28962.0,29277.0,3993445.11225,29174.875,,,,328.7142857142857
2021-01-01 21:00:00,21.0,29277.0,29375.0,29230.0,29236.5,3396636.5194,29279.625,,,,313.75
2021-01-01 22:00:00,22.0,29236.5,29399.5,29193.0,29344.0,1798021.42915,29293.25,,,,305.4642857142857
2021-01-01 23:00:00,23.0,29344.0,29408.0,29306.0,29399.0,1238365.4852,29364.25,,,,288.60714285714283
2021-01-02 00:00:00,0.0,29399.0,29404.5,29023.5,29271.0,3879419.4909,29274.5,,,,302.39285714285717
2021-01-02 01:00:00,1.0,29271.0,29489.0,29173.5,29446.5,4487456.6234,29345.0,,,,310.5357142857143
2021-01-02 02:00:00,2.0,29446.5,29559.5,29401.0,29402.5,4132007.029,29452.375,,,,289.0357142857143
2021-01-02 03:00:00,3.0,29403.0,29459.0,29340.5,29429.0,3275100.3572,29407.875,,,,278.25
2021-01-02 04:00:00,4.0,29429.0,29467.5,29294.0,29431.0,3056482.19735,29405.375,,,,272.0357142857143
2021-01-02 05:00:00,5.0,29431.0,29679.0,29430.0,29676.5,4622339.33935,29554.125,,,,263.89285714285717
2021-01-02 06:00:00,6.0,29676.5,29828.5,29542.5,29785.5,10339821.6321,29708.25,,,,267.35714285714283
2021-01-02 07:00:00,7.0,29785.0,29893.0,29711.5,29826.5,8590749.4308,29804.0,,,,251.07142857142858
2021-01-02 08:00:00,8.0,29826.5,29926.0,29705.0,29910.0,6447098.96205,29841.875,,,,222.42857142857142
2021-01-02 09:00:00,9.0,29910.0,29959.0,29639.0,29672.5,9898570.18825,29795.125,,,,232.32142857142858
2021-01-02 10:00:00,10.0,29672.5,29903.5,29535.0,29741.5,11429199.5473,29713.125,,,,230.46428571428572
2021-01-02 11:00:00,11.0,29741.5,29839.5,29689.5,29818.0,5394919.4713,29772.125,,,,230.82142857142858
2021-01-02 12:00:00,12.0,29817.5,30966.0,29800.0,30658.0,31839415.6181,30310.375,,,,299.35714285714283
2021-01-02 13:00:00,13.0,30658.0,31597.0,30577.0,31594.5,41786834.23295,31106.625,,,,364.92857142857144
2021-01-02 14:00:00,14.0,31594.5,31621.5,31127.5,31331.5,20908274.7807,31418.75,,,,373.0
2021-01-02 15:00:00,15.0,31331.5,31881.0,31291.0,31760.0,6232179.782,31565.875,,,,392.60714285714283
2021-01-02 16:00:00,16.0,31760.0,33100.0,31760.0,32553.0,23708330.5236,32293.25,,,,477.0
2021-01-02 17:00:00,17.0,32553.0,33025.5,32462.0,32936.0,5997557.7878,32744.125,,,,508.7857142857143
2021-01-02 18:00:00,18.0,32942.5,33349.5,32520.5,33018.5,7124381.29515,32957.75,,,,555.6071428571429
2021-01-02 19:00:00,19.0,33018.5,33295.5,32699.5,33087.0,5019370.51415,33025.125,,,,580.3928571428571
2021-01-02 20:00:00,20.0,33087.0,33126.5,30076.0,31007.0,19400360.03825,31824.125,,,,777.8571428571429
2021-01-02 21:00:00,21.0,31007.0,31935.5,29800.0,31696.0,10084774.438,31109.625,,,,917.4285714285714
2021-01-02 22:00:00,22.0,31696.0,32311.0,31452.5,32166.0,4136775.3967,31906.375,,,,962.9642857142857
2021-01-02 23:00:00,23.0,32166.0,32262.0,31622.0,32201.5,2610383.42885,32062.875,,,,985.8214285714286
