date,open,high,low,close,ohlc4,volume,SMA,25x_liq_long,25x_liq_short
2022-06-05 21:00:00,29923.0,29960.0,29792.0,29937.0,29903.0,9600125.8994,,,
2022-06-05 22:00:00,29937.0,30055.0,29847.0,30000.0,29959.75,19335176.9932,,,
2022-06-05 23:00:00,30000.0,30025.0,29867.0,29897.0,29947.25,11283832.8281,,,
2022-06-06 00:00:00,29897.0,30376.0,29865.0,30280.0,30104.5,22989910.799,,,
2022-06-06 01:00:00,30280.0,30905.0,30280.0,30825.0,30572.5,44079752.8074,,,
2022-06-06 02:00:00,30825.0,31117.0,30822.0,30907.0,30917.75,33012994.3001,,,
2022-06-06 03:00:00,30907.0,31258.0,30900.0,31229.0,31073.5,38560570.3732,,,
2022-06-06 04:00:00,31229.0,31341.0,31120.0,31204.0,31223.5,21775511.8563,,,
2022-06-06 05:00:00,31204.0,31263.0,31133.0,31150.0,31187.5,21367164.0001,,,
2022-06-06 06:00:00,31150.0,31415.0,31138.0,31253.0,31239.0,32828458.35,,,
2022-06-06 07:00:00,31253.0,31368.0,31175.0,31277.0,31268.25,18364482.1288,,,
2022-06-06 08:00:00,31277.0,31462.0,31262.0,31451.0,31363.0,32543995.7361,,,
2022-06-06 09:00:00,31451.0,31540.0,31354.0,31452.0,31449.25,19883567.1471,,,
2022-06-06 10:00:00,31452.0,31519.0,31371.0,31465.0,31451.75,25386790.4424,,,
2022-06-06 11:00:00,31464.0,31579.0,31320.0,31382.0,31436.25,32383219.0308,,,
2022-06-06 12:00:00,31382.0,31464.0,31326.0,31391.0,31390.75,28492975.349,,,
2022-06-06 13:00:00,31391.0,31528.0,31242.0,31430.0,31397.75,73506984.2418,,,
2022-06-06 14:00:00,31431.0,31750.0,31405.0,31488.0,31518.5,62890479.3737,,,
2022-06-06 15:00:00,31488.0,31535.0,31112.0,31516.0,31412.75,57655800.1871,,,
2022-06-06 16:00:00,31516.0,31530.0,31191.0,31291.0,31382.0,47782136.1081,,,
2022-06-06 17:00:00,31291.0,31355.0,31029.0,31327.0,31250.5,50447137.0951,,,
2022-06-06 18:00:00,31327.0,31411.0,31206.0,31322.0,31316.5,27134806.1756,,,
2022-06-06 19:00:00,31322.0,31468.0,31220.0,31452.0,31365.5,23349751.5598,,,
2022-06-06 20:00:00,31452.0,31517.0,31250.0,31437.0,31414.0,24349342.3804,,,
2022-06-06 21:00:00,31437.0,31580.0,31383.0,31463.0,31465.75,12922185.1922,,,
2022-06-06 22:00:00,31463.0,31513.0,31359.0,31368.0,31425.75,14165184.6429,,,
2022-06-06 23:00:00,31368.0,31399.0,31294.0,31347.0,31352.0,12362825.4731,,,
2022-06-07 00:00:00,31347.0,31357.0,30116.0,30173.0,30748.25,88468875.5101,,,
2022-06-07 01:00:00,30173.0,30236.0,29328.0,29546.0,29820.75,75175874.7397,,,
2022-06-07 02:00:00,29546.0,29547.0,29188.0,29373.0,29413.5,51408243.0869,,,
2022-06-07 03:00:00,29373.0,29635.0,29309.0,29545.0,29465.5,32346286.3089,,,
2022-06-07 04:00:00,29542.0,29588.0,29436.0,29504.0,29517.5,26205831.1265,,,
2022-06-07 05:00:00,29504.0,29600.0,29379.0,29452.0,29483.75,22729738.8927,,,
2022-06-07 06:00:00,29452.0,29535.0,29395.0,29496.0,29469.5,22250113.6557,,,
2022-06-07 07:00:00,29496.0,29573.0,29471.0,29559.0,29524.75,16540104.2838,,,
2022-06-07 08:00:00,29559.0,29710.0,29538.0,29631.0,29609.5,19988472.8928,,,
2022-06-07 09:00:00,29631.0,29641.0,29523.0,29539.0,29583.5,16257471.82,,,
2022-06-07 10:00:00,29539.0,29630.0,29513.0,29571.0,29563.25,12039167.7972,,,
2022-06-07 11:00:00,29571.0,29593.0,29315.0,29491.0,29492.5,25870484.1653,,,
2022-06-07 12:00:00,29492.0,29545.0,29372.0,29477.0,29471.5,15136483.4685,,,
2022-06-07 13:00:00,29476.0,29728.0,29395.0,29547.0,29536.5,19686973.7272,,,
2022-06-07 14:00:00,29547.0,30012.0,29457.0,29884.0,29725.0,26341773.0052,,,
2022-06-07 15:00:00,29885.0,30000.0,29750.0,29868.0,29875.75,20984349.071,,,
2022-06-07 16:00:00,29868.0,29926.0,29724.0,29890.0,29852.0,15928435.6955,,,
2022-06-07 17:00:00,29890.0,29958.0,29842.0,29924.0,29903.5,16588444.3956,,,
2022-06-07 18:00:00,29924.0,30241.0,29900.0,30170.0,30058.75,28428746.2852,,,
2022-06-07 19:00:00,30170.0,31405.0,30165.0,31039.0,30694.75,72594598.048,,,
2022-06-07 20:00:00,31037.0,31569.0,30978.0,31327.0,31227.75,87064826.9719,30538.046875,29505.35929951691,29223.011363636364
2022-06-07 21:00:00,31327.0,31516.0,31249.0,31379.0,31367.75,28363087.0404,30568.5625,29534.84299516908,29252.212918660287
2022-06-07 22:00:00,31379.0,31512.0,30300.0,31233.0,31106.0,89922674.0372,30592.442708333332,29557.91566022544,29275.064792663474
2022-06-07 23:00:00,31233.0,31369.0,30902.0,31108.0,31153.0,79795239.8151,30617.5625,29582.185990338163,29299.102870813396
2022-06-08 00:00:00,31108.0,31302.0,31034.0,31064.0,31127.0,32647801.096,30638.864583333332,29602.767713365538,29319.487639553427
2022-06-08 01:00:00,31064.0,31207.0,30720.0,31099.0,31022.5,50595956.2706,30648.239583333332,29611.82568438003,29328.458931419456
2022-06-08 02:00:00,31099.0,31222.0,30937.0,30959.0,31054.25,23137545.9247,30651.083333333332,29614.573268921093,29331.180223285482
2022-06-08 03:00:00,30959.0,31017.0,29827.0,30000.0,30450.75,101189395.9039,30638.109375,29602.03804347826,29318.76495215311
2022-06-08 04:00:00,30000.0,30367.0,29856.0,30224.0,30111.75,35026894.1982,30614.947916666668,29579.659822866346,29296.600877192985
2022-06-08 05:00:00,30224.0,30626.0,30198.0,30526.0,30393.5,24353893.5562,30598.40625,29563.677536231884,29280.77153110048
2022-06-08 06:00:00,30526.0,30679.0,30344.0,30513.0,30515.5,20195388.3298,30583.333333333332,29549.114331723023,29266.347687400317
2022-06-08 07:00:00,30513.0,30620.0,30292.0,30546.0,30492.75,24394053.9124,30567.177083333332,29533.50442834138,29250.887161084527
